2003,"20h10 pétantes",Plage du Noga-Hilton Cannes Alpes-Maritimes 
1978,"All Creatures Great and Small",Simonstone Hall Simonstone Hawes North Yorkshire England 
1956,"Assignment Foreign Legion",Beaconsfield Studios Beaconsfield Buckinghamshire England 
2015,"Backstrom",Allied Shipyard North Vancouver British Columbia 
2010,"Boardwalk Empire",Catalpa Avenue Ridgewood Queens New York City New York 
2012,"Cannes Eco 2012",Cannes Film Festival Cannes Alpes-Maritimes 
2014,"CockTales",Independent Dance Company Hollywood Los Angeles California 
2012,"DNOiSE Street Marketing",Málaga Málaga Andalucía 
1958,"Dotto",CBS-TV Manhattan New York City New York 
2000,"Eugenie Sandler P.I.",Altona Melbourne Victoria 
2014,"Every Street United",Rio de Janeiro Rio de Janeiro 
2010,"Fashion Beat TV",Roskilde Festival Roskilde Sjælland 
1996,"Fox Report w/ Shepard Smith",Fox News NY Studios - 48th Street & 6th Avenue Manhattan New York City New York 
2013,"Friendly Advice",North Hollywood Los Angeles California 
1955,"Front Row Center",Hollywood Los Angeles California 
2001,"HippHipp!",The Great Pyramids Giza Plateau Giza 
2009,"Horne & Corden",Inglis Barracks Mill Hill London England 
2012,"Hyperlinked",Loyola Marymount University - 1 LMU Drive Westchester Los Angeles California 
2002,"In-Laws",Hollywood Los Angeles California 
1980,"Juliet Bravo",Bacup Police Station Bank Street Bacup Lancashire England 
1999,"La gran ilusión",Dénia Alicante Comunitat Valenciana 
2015,"La vecina",Televisa San Angel Mexico City Distrito Federal 
2013,"Learning with Ghost Scott",Belfast County Antrim Northern Ireland 
1979,"Life on Earth",Brasília Zoo Brasília Distrito Federal 
1993,"London Tonight",ITN Gray's Inn Road Holborn London England 
2003,"Loves Me, Loves Me Not",Victoria 
2010,"Nikita",Revival 629 629 Eastern Avenue Toronto Ontario 
2008,"Noho, PA",New York City New York 
1961,"Number Please",Ritz Theater - 219 W. 48th Street Manhattan New York City New York 
2010,"Peripheral City",Brooklyn New York City New York 
1958,"Play Your Hunch",Studio 6B NBC Studios - 30 Rockefeller Plaza Manhattan New York City New York 
2000,"Real Rooms",Clifton Bristol England 
1998,"Russell Grant's Postcards",Hereford Herefordshire England 
2012,"Servers",Lower East Side Manhattan New York City New York 
2002,"Sjælen på vrangen",Hvidovre Hospital Hvidovre Sjælland 
2014,"Snow, Sex & Suspicious Parents",Savoie 
2005,"Talent Showcase",East Hampton Long Island New York 
1946,"Teen Canteen",Scotia Teen Canteen Schenectady New York 
2000,"The 10th Kingdom",Frensham Little Pond Farnham Surrey England 
2006,"The Amazing Race Asia",Sunny International Spice Shop Gadodia Market Khari Baoli Road Fatehpuri Old Delhi Central Delhi Delhi 
2001,"The Amazing Race",Centro Cívico San Carlos de Bariloche Río Negro 
2001,"The Amazing Race",Stazione Ferroviaría di Calalzo Via della Stazione 34 Calalzo di Cadore Belluno Veneto 
1970,"The Bold Ones: The Senator",Universal Studios - 100 Universal City Plaza Universal City California 
1956,"The Brothers",RKO Studios - 780 Gower Street Hollywood Los Angeles California 
1988,"The Kids in the Hall",CBC Studios Toronto Ontario 
1995,"The Politician's Wife",Pearl Assurance Building High Holborn Holborn London England 
1983,"The Winds of War",Park Lane Hotel Piccadilly London England 
1994,"Time Team",Merton London England 
1999,"WWF SmackDown!",Oakland-Alameda County Arena - 7000 Coliseum Way Oakland California 
2005,"Watch This!",Hollywood Los Angeles California 
1998,"World Impact with Billy Wilson",Edinburgh Castle Edinburgh Scotland 
2010,"Xtreme Tourist",Cancún Benito Juárez Quintana Roo 
1997,...Aur Pyaar Ho Gaya,Merlion Sentosa Southern Islands 
2004,100,000,000 Bon Jovi Fans Can't Be Wrong,100 000 Atlantic City New Jersey 
1897,13th Infantry, U.S. Army Marching Through Sallyport, Governors Island,13th Infantry U.S. Army Marching Through Sallyport New York Harbor New York City New York 
1963,1963 Cotton Bowl,Cotton Bowl - 3750 Midway Plaza Dallas Texas 
1989,1989 Holiday Bowl,Qualcomm Stadium San Diego California 
2016,2016 R+L Carriers New Orleans Bowl,Superdome - 1500 Poydras Street New Orleans Louisiana 
2002,28 Days Later...,Canary Wharf Underground Station Canary Wharf Isle of Dogs London England 
2009,3 Idiots,Woodville Palace Hotel Shimla Himachal Pradesh 
2015,30,000 Days,30 New York 
2006,38è Premi d'Honor de les Lletres Catalanes,Palau de la Música Catalana Barcelona Catalonia 
1976,40 gradi all'ombra del lenzuolo,Faenza Ravenna Emilia-Romagna 
2016,A College Student,2200 Benjamin Franklin Parkway Philadelphia Pennsylvania 
2010,A Gang Land Love Story,Hollywood Los Angeles California 
1956,A Kiss Before Dying,Sentinel Peak Tucson Arizona 
1915,A Night Out,Alcantara Building San Jose California 
2016,A Silent Scream,Oswaldstraße 17 Gelsenkirchen Northrhine-Westphalia 
1959,A Summer Place,Stage 6 Warner Brothers Burbank Studios - 4000 Warner Boulevard Burbank California 
1965,A Thousand Clowns,South Street Seaport - 19 Fulton Street Manhattan New York City New York 
1985,A View to a Kill,Fisherman's Wharf San Francisco California 
1976,A Whale of a Tale,Marineland of the Pacific - 6610 Palos Verdes Drive South Rancho Palos Verdes California 
2012,ASU School of International Letters & Cultures 2013 Recruitment Video,Barrett The Honors College ASU Tempe Arizona 
1955,Accadde al penitenziario,Fontana di Trevi Rome Lazio 
1999,Alexandra - Die Legende einer Sängerin,Baldurstraße Nymphenburg Munich Bavaria 
1979,All That Jazz,Kaufman Astoria Studios - 3412 36th Street Astoria Queens New York City New York 
1976,All the President's Men,City Hall - 200 N. Spring Street Downtown Los Angeles California 
2017,Allen & Tom,Ocaña Toledo Castilla-La Mancha 
2006,Amazing Grace,Blandford Dorset England 
1924,America,Shirley Plantation - 501 Shirley Plantation Road Charles City Virginia 
2001,American Pie 2,Shalom Institute - 34342 Mulholland Highway Malibu California 
1958,Ana dice sí,San Feliu de Guixols Girona Catalonia 
