1967,"1967 World Series",Fenway Park - 4 Yawkey Way Boston Massachusetts 
2008,"2008 UEFA European Football Championship",Stade de Suisse Wankdorf Bern Kanton Bern 
2003,"20h10 pétantes",Plage du Noga-Hilton Cannes Alpes-Maritimes 
2010,"Adolfo Suárez",Valladolid Valladolid Castilla y León 
1978,"All Creatures Great and Small",Simonstone Hall Simonstone Hawes North Yorkshire England 
2016,"American Crime Story",Hollywood Riviera Studios Torrance California 
1999,"Angel",Park Plaza Hotel - 607 S. Park View Street Los Angeles California 
1956,"Assignment Foreign Legion",Beaconsfield Studios Beaconsfield Buckinghamshire England 
2015,"Backstrom",Allied Shipyard North Vancouver British Columbia 
2004,"Balzakovskiy vozrast, ili Vse muzhiki svo...",Moscow 
2005,"Battle of the Network Reality Stars",Pepperdine University - 24255 Pacific Coast Highway Malibu California 
2010,"Boardwalk Empire",Catalpa Avenue Ridgewood Queens New York City New York 
2012,"Cannes Eco 2012",Cannes Film Festival Cannes Alpes-Maritimes 
2004,"Cathedrals of the Game",Minute Maid Park - 501 Crawford Street Houston Texas 
2003,"Celebrity Poker Showdown",Palms Casino Resort - 4321 W. Flamingo Road Las Vegas Nevada 
1998,"Cheap Theatrix",Encino Los Angeles California 
2014,"CockTales",Independent Dance Company Hollywood Los Angeles California 
2012,"DNOiSE Street Marketing",Málaga Málaga Andalucía 
1958,"Dotto",CBS-TV Manhattan New York City New York 
2000,"Eugenie Sandler P.I.",Altona Melbourne Victoria 
2003,"Eve",Columbia/Sunset Gower Studios - 1438 N. Gower Street Hollywood Los Angeles California 
2014,"Every Street United",Rio de Janeiro Rio de Janeiro 
2010,"Fashion Beat TV",Roskilde Festival Roskilde Sjælland 
1996,"Fox Report w/ Shepard Smith",Fox News NY Studios - 48th Street & 6th Avenue Manhattan New York City New York 
2013,"Freshers",Bedford Bedfordshire England 
2013,"Friendly Advice",North Hollywood Los Angeles California 
1955,"Front Row Center",Hollywood Los Angeles California 
2010,"GTOtv",Sherman Oaks Los Angeles California 
2014,"Grid Smasher",Burbank California 
1957,"Have Gun - Will Travel",Red Rock Canyon State Park - Highway 14 Cantil California 
1992,"Heartbeat",Goathland North Yorkshire England 
2001,"HippHipp!",The Great Pyramids Giza Plateau Giza 
2009,"Horne & Corden",Inglis Barracks Mill Hill London England 
2008,"Hot Gay Comics",Comix Comedy Club Manhattan New York City New York 
2012,"Hyperlinked",Loyola Marymount University - 1 LMU Drive Westchester Los Angeles California 
1985,"In Search of the Trojan War",Cambridge University Cambridge Cambridgeshire England 
2002,"In-Laws",Hollywood Los Angeles California 
1980,"Juliet Bravo",Bacup Police Station Bank Street Bacup Lancashire England 
1999,"La gran ilusión",Dénia Alicante Comunitat Valenciana 
2015,"La vecina",Televisa San Angel Mexico City Distrito Federal 
2013,"Learning with Ghost Scott",Belfast County Antrim Northern Ireland 
1979,"Life on Earth",Brasília Zoo Brasília Distrito Federal 
2008,"Little Dorrit",Deal Castle Deal Kent England 
1993,"London Tonight",ITN Gray's Inn Road Holborn London England 
1981,"Love, Sidney",Warner Brothers Burbank Studios - 4000 Warner Boulevard Burbank California 
2003,"Loves Me, Loves Me Not",Victoria 
2014,"NESN Clubhouse",NESN Watertown Massachusetts 
1993,"NYPD Blue",Brooklyn New York City New York 
2010,"Nikita",Revival 629 629 Eastern Avenue Toronto Ontario 
2008,"Noho, PA",New York City New York 
1974,"Not on Your Nellie",Chelsea London England 
1961,"Number Please",Ritz Theater - 219 W. 48th Street Manhattan New York City New York 
2010,"Peripheral City",Brooklyn New York City New York 
1958,"Play Your Hunch",Studio 6B NBC Studios - 30 Rockefeller Plaza Manhattan New York City New York 
